RK,TIERS,PLAYER NAME,TEAM,POS,BYE,SOS,ECR VS ADP,Team
80,7,Emeka Egbuka,TB,WR35,9,3 out of 5 stars,+13,UNK
81,7,Travis Kelce,KC,TE7,10,3 out of 5 stars,-11,UNK
82,7,Rashee Rice,KC,WR36,10,3 out of 5 stars,-28,UNK
83,7,Jerry Jeudy,CLE,WR37,9,2 out of 5 stars,-16,UNK
84,7,Jaylen Warren,PIT,RB30,5,4 out of 5 stars,-5,UNK
85,7,Deebo Samuel Sr.,WAS,WR38,12,3 out of 5 stars,-3,UNK
86,7,Jordan Addison,MIN,WR39,6,2 out of 5 stars,-5,UNK
87,7,Brock Purdy,SF,QB11,14,4 out of 5 stars,+24,UNK
88,7,Tucker Kraft,GB,TE8,5,2 out of 5 stars,+24,UNK
89,7,David Njoku,CLE,TE9,9,3 out of 5 stars,+11,UNK
90,7,Travis Etienne Jr.,JAC,RB31,8,2 out of 5 stars,-6,UNK
91,7,Jacory Croskey-Merritt,WAS,RB32,12,2 out of 5 stars,+86,UNK
92,7,Justin Fields,NYJ,QB12,9,5 out of 5 stars,+28,UNK
93,8,Zach Charbonnet,SEA,RB33,8,3 out of 5 stars,+1,UNK
94,8,Tyler Warren,IND,TE10,11,3 out of 5 stars,+2,UNK
95,8,Stefon Diggs,NE,WR40,14,3 out of 5 stars,-8,UNK
96,8,Justin Herbert,LAC,QB13,12,3 out of 5 stars,+18,UNK
97,8,Matthew Golden,GB,WR41,5,2 out of 5 stars,-7,UNK
98,8,Jauan Jennings,SF,WR42,14,4 out of 5 stars,+5,UNK
99,8,Tank Bigsby,JAC,RB34,8,2 out of 5 stars,+18,UNK
100,8,Jayden Reed,GB,WR43,5,2 out of 5 stars,+6,UNK
101,8,Drake Maye,NE,QB14,14,5 out of 5 stars,+27,UNK
102,8,Javonte Williams,DAL,RB35,10,2 out of 5 stars,-4,UNK
103,8,Jakobi Meyers,LV,WR44,8,4 out of 5 stars,-17,UNK
104,8,Caleb Williams,CHI,QB15,5,2 out of 5 stars,+3,UNK
105,8,Evan Engram,DEN,TE11,12,3 out of 5 stars,-16,UNK
106,8,Jared Goff,DET,QB16,8,2 out of 5 stars,-5,UNK
